;Name;Revenue;Lost profit;Sales;Balance;Turnover days;Frozen stocks percent;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;SPP;Median price;Comments Valuation;Comments;Days in website;Search cpm avg
66;Мелатонин / бад для сна / успокоительное;441251;262832,12;747;162;50;9,88;1199;54;551;534;0;615;4,8;143;520;406
67;Псиллиум шелуха подорожника для похудения 90 шт;426003;945427,71;475;327;78;42,81;3750;65;1286;1247;0;1312;4,8;66;191;0
68;Детокс шампунь для волос восстанавливающий Halsa Cosmetics;408459;1617276,85;279;213;56;20,19;3199;57;1354;1313;0;1610;4,8;57;73;0
69;Тирозин 1000 мг для похудения и нервной системы халяль;406303;265378,09;720;240;74;39,17;1199;59;481;466;0;579;4,9;96;221;0
70;Медь хелат для иммунитета и гемоглобина таблетки 60 шт;392062;299701,24;646;0;0;0;1499;27;1094;1061;0;650;5;96;279;0
71;Витамин д3 детский 200 ме для суставов и костей, капли 10 мл;386892;585637,89;674;225;49;7,56;1599;65;548;531;0;595;4,9;222;145;530
72;Омега 3 капсулы 60 штук 75% для волос и кожи;386792;356415,66;325;9;5;0;2499;56;1094;1061;0;1231;4,9;1957;221;0
73;Кальций для костей и ногтей 60 капсул халяль;372541;194772,47;618;101;39;0;1199;56;516;500;0;590;4,9;1349;241;0
74;Фолиевая кислота 500 мг, витамины для женщин, для беременных;371718;271774,95;662;0;0;0;1199;27;875;848;0;596;4,9;101;477;0
75;Скраб для тела антицеллюлитный и увлажняющее молочко;360372;936260,59;172;125;74;39,2;4499;54;2036;1974;0;2200;4,9;76;101;0
76;Коллаген порошок питьевой для суставов с витамином C;351518;32431,72;446;283;213;78,8;1599;48;831;806;0;839;4,9;752;483;0
77;Таурин капсулы БАД для энергии, зрения, здоровья;341965;109478;620;116;52;13,79;1199;27;875;848;0;546;4,9;122;552;0
78;Шампунь для роста волос лечебный и пилинг;328389;1497652,86;148;8;4;0;3999;40;2364;2293;0;2218;4,8;57;65;0
79;Холин для печени и мозга капсулы 60 шт;300831;684927,72;451;0;0;0;1499;28;1079;1046;0;611;4,9;87;279;0
80;Витамины для памяти и мозга БАД гинкго билоба 60 капсул;300535;273925,13;536;126;45;0;1499;65;514;498;0;551;5;71;191;0
81;Янтарная кислота таблетки БАД для похудения и детокс;292290;382366,79;471;281;95;52,67;1199;44;665;645;0;617;4,9;60;191;0
82;Коэнзим q10 60 капсул для сердца и мышц;291523;159907,13;321;84;62;27,38;1899;56;817;792;0;996;4,8;100;872;0
83;Цинк цитрат витаминный комплекс, капсулы;290610;259152,22;503;0;0;0;1199;57;509;493;0;558;4,8;393;888;0
84;Успокоительное средство от стресса для сна;289190;19335,38;484;49;35;0;1480;62;556;539;0;601;4,9;76;526;0
85;Целлюлоза микрокристаллическая мкц порошок для похудения;270090;504308,67;315;0;0;0;2000;16;1680;1629;0;935;4,7;31;136;0
86;Куркумин с пиперином капсулы БАД для иммунитета и похудения;267911;272327,12;441;213;88;48,83;1199;51;577;559;0;612;5;75;191;0
87;Крем-баттер для тела увлажняющий;267784;1060279,89;164;349;157;71,35;3199;49;1611;1562;0;1657;4,9;29;73;0
88;Набор шампунь и спрей для волос;266200;1214033,33;130;35;18;0;3999;48;2072;2009;0;2160;4,8;57;65;0
89;Антидепрессанты капсулы, успокоительное для взрослых, 60 шт;260024;212395,84;464;95;41;0;1199;55;533;517;0;579;4,8;67;432;0
